source,architecture,prompt_level,n_conversations,CED,min_distance,max_distance,condition
LLM,C1,P0,50,0.4332203719365612,0.30459482051624687,0.6481975169446115,C1-P0
LLM,C2,P0,50,0.4271235101985082,0.32272945166592937,0.6093236211356652,C2-P0
LLM,C3,P0,50,0.4485830973760972,0.3531822607396147,0.6590865137458123,C3-P0
LLM,C4,P0,50,0.4127110710016034,0.30511287318223623,0.6275879795678269,C4-P0
SB,SB,SB,50,0.18654345178235093,0.0972903494197892,0.40524778754058743,SB
