condition,source,architecture,prompt_level,n_conversations,mean_ADI,mean_social_rate,mean_topic_health,mean_reciprocity,mean_TSI_proxy,mean_CAS
C1-P0,LLM,C1,P0,50,0.1538399142497141,1.0132166728652188,0.5901471338708474,0.8354425173210003,85.03951131588376,0.10998682460521282
C2-P0,LLM,C2,P0,50,0.098125,0.3184375,-0.12125,0.86,59.6796875,0.08824285909247828
C3-P0,LLM,C3,P0,50,0.09809486881493916,0.32344486493811314,-0.275360329893957,0.8751663891663892,58.617923036848694,0.04627494244817919
C4-P0,LLM,C4,P0,50,0.145,0.4071875,0.29875,0.81625,64.7859375,0.10716218473055074
SB,SB,SB,SB,50,0.05318345201633247,1.052938388050387,-0.3567923482941356,0.8566960716602153,80.37666941460816,0.0007002616529235369
